FlightNumber,LaunchSite,Orbit,PayloadMass,Class,Year
1,CCAFS SLC 40,LEO,6123,0,2010
2,CCAFS SLC 40,GTO,4535,1,2012
3,KSC LC 39A,ISS,5300,1,2014
4,VAFB SLC 4E,SSO,4750,1,2015
5,CCAFS SLC 40,LEO,6200,1,2016
6,KSC LC 39A,GTO,5500,1,2017
7,VAFB SLC 4E,PO,4100,0,2017
8,CCAFS SLC 40,ISS,5200,1,2018
9,KSC LC 39A,LEO,6800,1,2019
10,CCAFS SLC 40,GTO,4900,0,2020
11,KSC LC 39A,ISS,6100,1,2020
12,CCAFS SLC 40,LEO,5700,1,2021
13,VAFB SLC 4E,SSO,4300,1,2021
14,KSC LC 39A,GTO,6500,1,2021
15,CCAFS SLC 40,ISS,5000,1,2021
16,CCAFS SLC 40,GTO,7200,0,2021
17,KSC LC 39A,LEO,5900,1,2022
18,VAFB SLC 4E,PO,4500,1,2022
19,CCAFS SLC 40,LEO,6300,1,2022
20,KSC LC 39A,ISS,5600,1,2022
